100 290
1 30
2 26
2 77
2 83
4 3
4 9
4 28
4 60
6 55
6 74
6 76
6 88
6 99
7 24
7 48
8 67
8 74
8 81
8 83
8 86
8 98
9 2
9 21
9 68
10 11
10 13
10 20
10 22
10 69
11 2
11 25
11 38
11 69
11 97
12 41
13 5
13 28
13 67
13 96
15 4
15 54
15 92
16 54
16 93
16 96
16 98
17 46
17 93
18 28
19 1
19 67
20 44
21 2
21 7
21 15
21 32
21 67
21 89
21 97
22 43
23 13
23 20
23 78
23 95
24 3
25 33
25 41
25 80
25 84
26 34
26 52
26 79
27 52
27 80
27 85
27 93
27 98
28 69
28 76
29 33
29 48
29 66
29 94
30 17
30 33
30 86
31 17
31 62
32 19
33 11
34 76
35 11
35 33
35 49
35 62
35 63
35 71
36 20
36 34
36 56
36 59
36 67
37 3
37 32
37 74
38 66
39 26
39 71
39 83
40 34
40 64
40 88
41 9
42 34
42 37
42 69
42 82
42 84
43 15
43 52
43 82
44 2
44 20
44 63
44 89
45 32
45 52
46 9
46 40
46 65
47 11
47 19
47 36
47 65
47 72
47 73
48 53
48 94
49 43
49 95
50 1
50 61
51 63
51 71
51 85
52 30
52 61
53 40
53 95
54 19
54 55
55 3
55 48
55 64
55 85
55 95
55 99
56 6
56 52
56 92
56 100
57 25
57 33
57 53
57 68
58 29
58 42
59 6
59 50
59 81
59 87
60 28
60 99
62 14
62 16
63 85
64 7
64 50
64 70
65 85
66 42
66 63
66 81
66 89
67 35
68 7
68 36
68 45
69 25
69 63
69 72
70 10
70 32
71 10
71 16
71 38
71 77
72 32
72 39
72 84
73 6
73 14
73 30
73 52
74 28
74 95
75 7
75 16
75 70
76 60
76 89
77 11
77 65
77 69
78 27
78 41
78 64
78 65
78 80
79 30
79 35
79 42
79 63
80 30
80 62
80 78
81 36
81 53
81 78
82 15
82 55
83 3
83 12
83 22
84 19
84 22
84 30
84 96
85 21
85 33
85 43
85 55
85 95
86 84
87 6
87 17
87 33
88 26
88 73
88 78
88 98
89 61
89 66
89 83
89 94
90 11
90 32
90 41
90 84
91 35
91 45
91 48
91 68
91 92
93 25
93 40
93 73
94 15
94 41
95 35
95 40
95 42
95 88
95 93
96 1
96 34
96 38
96 45
96 55
96 95
97 27
97 30
97 92
97 99
98 40
98 87
100 21
100 49
100 66
100 73
